__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 10:52:03,706 INFO  [it.uni.reti2.main] (main) 🚉 Avvio processo Stazione con ID: TO
2026-08-16 10:55:05,937 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:05.937289539Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:15,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:15.942433860Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:25,934 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:25.934590775Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:35,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:35.942718804Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:45,933 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:45.933723423Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:55,936 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:55.936111787Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:56:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:56:05.942037244Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:56:15,943 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:56:15.943227058Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:56:25,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:56:25.941664149Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:56:35,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:56:35.942778831Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:56:45,944 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:56:45.943790860Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:56:53,825 INFO  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-2) 🚂 [PASSAGGIO] Treno Mario in ENTRATA dalla stazione TO
2026-08-16 10:56:55,935 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:56:55.935708438Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:57:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:57:05.942678Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:57:13,826 INFO  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-2) 🚂 [PASSAGGIO] Treno Mario in USCITA dalla stazione TO
2026-08-16 10:57:15,933 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:57:15.933330732Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:57:25,935 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:57:25.935649452Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:57:35,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:57:35.941646185Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:57:45,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:57:45.942145054Z","tipoEvento":"HEARTBEAT","bufferSize":0}
