__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 12:29:33,129 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-1) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 12:29:48,129 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-1) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 12:30:03,129 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-1) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:13:46,021 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: Connection closed
2026-08-16 16:13:46,035 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: Connection closed
2026-08-16 16:13:46,036 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: Connection closed
2026-08-16 16:13:46,041 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-1) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:13:47,027 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 16:13:47,038 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 16:13:47,039 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 16:14:01,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:14:16,240 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:14:31,239 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:14:47,237 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:15:02,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:15:18,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:15:33,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:15:49,240 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:16:04,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:16:20,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:16:35,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:16:51,238 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
2026-08-16 16:17:07,285 WARN  [it.uni.reti2.TrainJourneyEngine] (executor-thread-2) ⚠️ [TWIN] Itinerario non disponibile (HTTP 404 da http://localhost:8781/api/treni/tenoAmmazzaRicchi/itinerario), riprovo tra 15s
